"Name of the lake","Extent in Hect","Sample Location","CI","PO-P","TSS","DO","COD","NO3","TH","F","pH","Zn","pb","Cu","Mn","Al","Cr","EC MPN/100 ml","TC MPN/ 100 ml","","",""
"Doddanekkundi Lake","","Outlet","202","2.55","12","","18.88","4.65","360","0.37","7.97","0.12","Nil","0.01","0.58","1.18","","","","","",""
"Doddanekkundi Lake","45.29","Outlet","305","0.55","9","Nil","56.64","14.09","460","0.46","7.65","0.17","Nil","0.02","0.67","1.19","","","","","",""
"Doraikere","","Outlet","132","0.51","4","","38.40","5.35","444","0.55","7.67","0.05","","Nil","0.26","","","","","","",""
"Doraikere","11.67","Inlet","148","5.33","9","2","Nil","5.47","404","0.72","7.59","0.06","","0.01","0.28","","","","","","",""
"Dubasipalya kere","","Outlet - 2","?  120","0.05","16.5","3.8","38.40","13.73","116","0.50","8.22","0.09","Nil","Nil","0.36","","","","","","",""
"Dubasipalya kere","5.98","Inlet","123","0.05","10.5","","38.40","14.94","124","0.49","8.18","0.01","Nil","Nil","0.37","","","","","","",""
"GarepalyaKere","7.3","Inlet","1148","2.11","82.5","2.2","288.00","51.38","564","0.42","8.39","0.06","0.02","Nil","0.21","","","","","","",""
"Gottigere Kere","12.93","Inlet","204","0.01","","2","","5.62","320","0.41","7.89","0.04","Nil","Nil","0.72","0.89","","Pre Sent","Pre Sent","","",""
"Halagevaderahalli kere","2.85","Inlet","64.4","0.2","20","7.2","19.20","3.83","196","0.35","7.74","0.05","Nil","Nil","0.26","0.11","","","","","",""
"Haralakunte Kere Somasandrakere","5.03","Inlet","736","5.11","4190","Nil","321.00","23.96","672","0.37","8.14","0.21","0.04","Nil","0.84","","","","","","",""
"Haralur Kere","9.58","Inlet","269","0.01","107","4.6","38.40","3.09","196","0.59","8.25","0.08","Nil","Nil","0.11","","","","","","",""
"Hebbal Kere","","Outlet","185","0.01","39","","18.90","3.53","212","0.36","8.56","0.08","Nil","Nil","0.18","","","","","","",""
"Hebbal Kere","52.81","Inlet","126","1","20","3.2","18.90","5.22","264","0.33","7.65","0.18","Nil","Nil","0.26","","",">1600",">1600","","",""
"HemNilgepura Kere","5.93","Inlet","109","0.2","15","2.8","19.20","2.46","368","0.56","8.32","0.06","Nil","Nil","0.08","","","","","","",""
"HemNilgepura Kere","","Outlet","87","0.1","12","","19.20","3.09","184","0.39","8.47","0.05","Nil","Nil","0.13","","","","","","",""
"Herohalli Kere","12.26","Inlel","249","0.2","89","9.6","151","6.35","296","0.60","8.46","0.19","0.08","0.08","0.95","","","160000","160000","","",""
"Horamavu Agara Kere","","Outlet","602","0.01","49","-","132","6.36","288","0.60","8.83","","","","","","","","","","",""
"Horamavu Agara Kere","17.3","Inlet","596","0.01","50","5.8","113","7.01","292","0.61","8.81","0.05","Nil","0.04","0.18","","","1600","1600","","",""
"Hosakere kere","15.54","Inlet","210","1","5.5","2.8","94","2.60","440","0.44","8.07","0.13","Nil","0.01","0.45","","",">1600",">1600","","",""
"Huchappana palya kere","","Outlet","118","0.53","21","","Nil","18.23","260","0.51","7.93","","","","","","","","","","",""
"Huchappana palya kere","2.06","Inlet","115","0.55","62.5","7.2","Nil","19.64","252","0.92","8.18","","","","","","","","","","",""
"Hulimavu kere","44.26","Inlet","221","0.2","18","Nil","Nil","2.69","276","0.43","8.09","0.06","Nil","0.01","0.47","0.87","","","","","",""
"Huliniavu kere","","Outlet","176","2.51","15","","Nil","9.56","372","0.56","7.81","0.46","Nil","0.01","0.28","2.23","","","","","",""
"Ibbalur Kere","","Periphery","218","5.05","77","4","-","7.55","348","0 87","7.96","0.07","Nil","0.02","0.43","","",">1600",">1600","","",""
"Ibbalur Kere","3.16","Inlet","213","5.09","160","","","8.63","340","0.88","8 13","0.08","Nil","0.01","0.11","","","","","","",""
"Ittamadu","0.5","Inlet","148","5.03","505","","Nil","8.22","364","0.71","8.31","0.20","Nil","Nil","0.72","","","","","","",""
"Ittamadu","","Periphery","140","5.03","4.5","11.2","Nil","8.81","372","0.63","8.22","0.14","Nil","Nil","0.57","","","","","","",""
"Jakkur kere","58.97","Inlet","213","0.11","10","","","5.701","148","0.71","9.49","0.06","Nil","Nil","0.08","","","","","","",""
